hora;latitude;longitude;velocidade_gps;altitude;tensao;corrente;velocidade;acel_x;acel_y;acel_z;gyro_x;gyro_y;gyro_z
2023-11-08 14:06:11.107;-15.98909;-48.04529;6.167;0;48.64;-2.44;10;5.58807;0.658405;8.38928;0.0110582;0.0149219;0.00612864
2023-11-08 14:06:12.062;-15.98908;-48.04527;5.087;0;47.2;48.82;5;5.65032;1.27611;8.70532;0.0171868;0.0337075;0.00519602
2023-11-08 14:06:13.139;-15.98907;-48.04526;3.614;0;46.96;53.71;4;7.19218;0.730232;8.07564;-0.0932619;-0.0913966;0.0651501
2023-11-08 14:06:14.092;-15.98907;-48.04525;2.344;0;46.78;54.93;7;5.1212;1.42694;9.44752;-0.0238484;0.0784732;0.0131899
2023-11-08 14:06:15.161;-15.98906;-48.04525;2.027;0;45.94;101.31;9;4.14436;1.96803;7.14909;0.00666156;0.0630184;0.0414349
2023-11-08 14:06:16.146;-15.98904;-48.04524;2.725;0;45.82;92.77;16;4.87699;2.39181;11.6622;0.000133231;-0.0201179;0.0438331
2023-11-08 14:06:17.053;-15.98903;-48.04523;2.724;0;45.34;104.98;19;7.31907;-0.191536;8.2169;0.0170536;0.0520934;0.000266462
2023-11-08 14:06:18.161;-15.98902;-48.04522;3.263;0;45.7;93.99;19;7.01501;-0.936133;9.52413;0.103787;0.0063951;-0.00972588
2023-11-08 14:06:19.131;-15.98902;-48.04520;3.063;0;46.48;53.71;25;3.95043;-0.442927;4.57053;0.053026;0.0187856;0.00346401
2023-11-08 14:06:20.112;-15.98900;-48.04519;4.163;0;45.76;84.22;22;4.45082;0.842759;6.17465;-0.033974;0.0389035;0.0166539
2023-11-08 14:06:21.065;-15.98897;-48.04517;5.088;0;44.62;133.05;29;6.18422;2.60729;9.42118;0.029977;-0.00266462;-0.0313093
2023-11-08 14:06:22.156;-15.98894;-48.04516;5.558;0;45.04;118.4;27;9.15064;-3.37822;9.03572;0.0667489;0.0146554;-0.0523599
2023-11-08 14:06:23.149;-15.98892;-48.04514;6.174;0;45.4;102.53;26;4.43167;1.95127;11.4012;0.0724778;0.00239816;0.0820704
2023-11-08 14:06:24.171;-15.98889;-48.04511;6.559;0;45.58;97.65;28;6.00705;-1.61369;9.03093;-0.0307764;0.0508943;0.0632848
2023-11-08 14:06:25.135;-15.98887;-48.04510;5.343;0;45.64;95.21;29;3.9241;3.51229;6.54096;-0.0342404;0.0851348;0.0321087
2023-11-08 14:06:26.104;-15.98884;-48.04507;6.906;0;45.76;90.33;30;4.19704;3.33033;9.51695;-0.070879;-0.0135896;0.0350398
2023-11-08 14:06:27.097;-15.98884;-48.04507;6.906;0;45.76;91.55;31;6.37336;-0.864307;9.99819;0.0924625;-0.0419678;-0.0294441
2023-11-08 14:06:28.179;-15.98881;-48.04504;7.698;0;45.82;87.89;30;7.46273;-0.368707;6.09564;0.0174533;0.0555574;-0.0119908
2023-11-08 14:06:29.165;-15.98878;-48.04501;8.359;0;46;91.55;31;8.01579;1.16358;12.4858;0.0367718;0.0186524;-0.0249142
2023-11-08 14:06:30.203;-15.98875;-48.04498;8.741;0;47.26;37.84;31;8.19296;1.90818;10.0126;0.026513;0.057023;-0.0191853
2023-11-08 14:06:31.170;-15.98871;-48.04495;9.338;0;48.16;3.66;29;6.03578;-3.73974;8.79869;-0.0133231;-0.0245145;-0.0610199
2023-11-08 14:06:32.124;-15.98868;-48.04492;8.901;0;48.64;-2.44;26;7.41724;0.675165;8.74602;-0.0804717;0.0063951;-0.0606202
2023-11-08 14:06:33.237;-15.98862;-48.04485;8.556;0;48.76;-3.66;23;4.4987;-0.3304;5.35344;-0.0654165;0.0249142;-0.069147
2023-11-08 14:06:34.200;-15.98859;-48.04482;8.5;0;48.82;-3.66;19;7.42442;-2.82755;12.469;0.150018;-0.0122573;-0.12577
2023-11-08 14:06:35.183;-15.98857;-48.04480;7.553;0;48.88;-3.66;14;6.39252;-0.723049;8.28394;-0.0763415;0.0515605;-0.0129234
2023-11-08 14:06:36.200;-15.98855;-48.04477;6.424;0;48.7;9.76;10;5.69341;0.52433;8.31506;-0.0395697;0.0202511;-0.0266462
2023-11-08 14:06:37.152;-15.98854;-48.04475;5.028;0;47.14;53.71;6;5.65271;-0.158017;8.4635;-0.040902;-0.137761;-0.0278453
2023-11-08 14:06:38.228;-15.98854;-48.04474;4.039;0;47.74;26.85;7;4.23774;0.31364;10.1011;0.00599541;-0.0311761;0.000932619
2023-11-08 14:06:39.198;-15.98853;-48.04473;2.731;0;46.84;68.35;11;4.60166;0.830788;7.86735;-0.0278453;-0.0310429;0.00333078
2023-11-08 14:06:40.160;-15.98853;-48.04472;2.365;0;45.28;114.74;16;4.26886;1.93691;9.3326;0.0154548;0.0125237;0.0170536
2023-11-08 14:06:41.246;-15.98852;-48.04470;2.609;0;44.8;129.39;22;4.90572;1.56341;4.71897;-0.134031;0.0436998;0.0297106
2023-11-08 14:06:42.168;-15.98852;-48.04468;3.464;0;45.4;103.75;24;5.4923;0.100556;9.51216;0.0286447;0.0397029;-0.00333078
2023-11-08 14:06:43.201;-15.98851;-48.04466;4.241;0;44.86;129.39;26;8.47787;-2.05901;13.0316;0.0567565;0.0877994;-0.0608867
2023-11-08 14:06:44.279;-15.98850;-48.04462;6.04;0;45.34;107.42;27;3.3854;-1.78607;8.09001;-0.100723;0.0474303;0.0193185
2023-11-08 14:06:45.253;-15.98849;-48.04459;7.131;0;45.52;103.75;27;6.66546;0.701501;6.96234;-0.0131899;0.0427672;-0.0402358
2023-11-08 14:06:46.221;-15.98848;-48.04455;7.903;0;45.7;93.99;30;3.94325;-1.22344;7.85059;-0.0502282;-0.0474303;-0.0243813
2023-11-08 14:06:47.288;-15.98848;-48.04455;7.903;0;45.76;91.55;29;1.42694;2.88501;4.11803;0.0149219;0.0275789;0.0764747
2023-11-08 14:06:48.302;-15.98848;-48.04451;8.422;0;45.82;89.11;31;6.5649;1.05824;9.41161;0.0373047;0.142158;-0.0211838
2023-11-08 14:06:49.291;-15.98847;-48.04446;8.714;0;45.82;89.11;30;6.1124;-3.36385;8.47308;0.0803384;0.0419678;-0.0983247
2023-11-08 14:06:50.249;-15.98846;-48.04442;9.007;0;45.82;91.55;29;4.8291;-0.0814029;10.0126;0.0194518;-0.0330413;0.00319755
2023-11-08 14:06:51.216;-15.98845;-48.04437;9.265;0;45.88;87.89;31;4.63278;2.31519;7.25443;-0.00333078;0.0422343;0.0302435
2023-11-08 14:06:52.294;-15.98844;-48.04433;9.442;0;45.88;89.11;31;6.40449;3.83791;9.26077;0.00452986;0.0624855;0.0679479
2023-11-08 14:06:53.247;-15.98843;-48.04428;9.447;0;45.82;87.89;30;5.9448;0.0143652;7.91523;0.0423675;0.0119908;-0.00373047
2023-11-08 14:06:54.227;-15.98842;-48.04423;9.439;0;47.86;18.31;30;6.4811;0.100556;10.7883;0.0335743;-0.0239816;0.0528928
2023-11-08 14:06:55.233;-15.98841;-48.04419;9.491;0;48.04;12.2;31;7.03416;3.97916;10.9415;-0.0647504;0.0241149;-0.138161
2023-11-08 14:06:56.318;-15.98840;-48.04414;9.479;0;48.1;13.42;27;5.28161;0.629675;7.1419;-0.177198;0.00719449;-0.140692
2023-11-08 14:06:57.288;-15.98839;-48.04410;9.446;0;47.38;39.06;22;4.86981;-0.727837;5.73411;-0.119508;0.0414349;-0.178397
2023-11-08 14:06:58.255;-15.98838;-48.04405;8.99;0;44.02;170.89;25;6.56011;1.23541;6.69179;-0.108583;-0.0141225;-0.310429
2023-11-08 14:06:59.322;-15.98837;-48.04401;8.147;0;44.98;123.29;28;4.65672;-1.65679;9.04051;-0.0623522;0.0159877;-0.0390368
2023-11-08 14:07:00.279;-15.98837;-48.04401;8.147;0;45.58;100.09;26;6.90727;-4.06535;7.74764;0.0295773;0.0715452;0.0925957
2023-11-08 14:07:01.243;-15.98837;-48.04398;6.906;0;45.76;91.55;30;3.15077;-0.339977;10.4483;0.09566;0.0137228;0.275522
